datetime,actual,forecast
2024-08-13,18193.5,17022.635255620495
2024-08-14,19401.0,17010.337752968822
2024-08-15,20041.041666666668,16924.322019822885
2024-08-16,20539.833333333332,16745.075900537988
2024-08-17,19252.125,15789.336647674581
2024-08-18,18954.625,15582.758483612053
2024-08-19,19907.458333333332,16891.856955379444
2024-08-20,16742.916666666668,17018.34539436145
2024-08-21,15921.916666666666,17006.04789170978
2024-08-22,16221.083333333334,16920.03215856384
2024-08-23,16976.291666666668,16740.786039278944
2024-08-24,16879.25,15785.046786415538
2024-08-25,17719.333333333332,15578.46862235301
2024-08-26,19823.333333333332,16887.5670941204
2024-08-27,20315.166666666668,17014.055533102408
2024-08-28,22476.958333333332,17001.758030450736
2024-08-29,19806.416666666668,16915.742297304798
2024-08-30,18246.833333333332,16736.4961780199
2024-08-31,17878.291666666668,15780.756925156495
2024-09-01,18206.916666666668,15574.178761093966
2024-09-02,16451.166666666668,16883.277232861357
2024-09-03,15934.291666666666,17009.765671843365
2024-09-04,16366.541666666666,16997.468169191692
2024-09-05,16726.916666666668,16911.452436045754
2024-09-06,17296.041666666668,16732.206316760858
2024-09-07,16143.125,15776.467063897451
2024-09-08,14114.958333333334,15569.888899834923
2024-09-09,15744.958333333334,16878.987371602314
2024-09-10,16206.916666666666,17005.47581058432
2024-09-11,16223.041666666666,16993.17830793265
2024-09-12,17017.333333333332,16907.16257478671
2024-09-13,17539.0,16727.916455501814
2024-09-14,17162.625,15772.177202638408
2024-09-15,16859.833333333332,15565.59903857588
2024-09-16,17316.541666666668,16874.69751034327
2024-09-17,17594.291666666668,17001.185949325278
2024-09-18,17553.583333333332,16988.888446673605
2024-09-19,18088.666666666668,16902.872713527668
2024-09-20,17886.208333333332,16723.62659424277
2024-09-21,16141.833333333334,15767.887341379364
2024-09-22,15520.083333333334,15561.309177316836
2024-09-23,16208.916666666666,16870.407649084227
2024-09-24,15700.333333333334,16996.896088066234
2024-09-25,16004.791666666666,16984.598585414562
2024-09-26,16949.333333333332,16898.582852268624
2024-09-27,16402.25,16719.336732983727
2024-09-28,15338.416666666666,15763.597480120321
2024-09-29,15018.916666666666,15557.019316057793
2024-09-30,15866.0,16866.117787825184
2024-10-01,15784.0,16992.60622680719
2024-10-02,15587.166666666666,16980.30872415552
2024-10-03,15378.666666666666,16894.29299100958
2024-10-04,15457.958333333334,16715.046871724684
2024-10-05,14421.625,15759.307618861278
2024-10-06,14051.75,15552.72945479875
2024-10-07,15627.083333333334,16861.82792656614
