datetime,actual,forecast
2024-07-31,23581.958333333332,20747.02116367979
2024-08-01,24097.375,20588.08775808182
2024-08-02,24167.333333333332,20334.92182457798
2024-08-03,22370.666666666668,19306.872530044006
2024-08-04,20906.791666666668,19036.13987008295
2024-08-05,22693.708333333332,20283.15009384394
2024-08-06,22394.25,20325.058489497347
2024-08-07,18708.0,20267.165943267308
2024-08-08,18215.125,20137.34809616295
2024-08-09,20789.708333333332,19915.546521913526
2024-08-10,19137.5,18919.92792072282
2024-08-11,17575.416666666668,18681.511904868494
2024-08-12,18177.875,19959.5728733981
2024-08-13,18193.5,20030.16846540611
2024-08-14,19401.0,19997.580393704262
2024-08-15,20041.041666666668,19888.765905359243
2024-08-16,20539.833333333332,19682.868763188242
2024-08-17,19252.125,18697.395275367056
2024-08-18,18954.625,18462.85555577038
2024-08-19,19907.458333333332,19738.17520297258
2024-08-20,16742.916666666668,19799.229670589528
2024-08-21,15921.916666666666,19750.287011681376
2024-08-22,16221.083333333334,19618.45722574167
2024-08-23,16976.291666666668,19383.19718587372
2024-08-24,16879.25,18362.476856014822
2024-08-25,17719.333333333332,18087.407257906038
2024-08-26,19823.333333333332,19317.63573984449
2024-08-27,20315.166666666668,19329.861261257392
2024-08-28,22476.958333333332,19229.255882778845
2024-08-29,19806.416666666668,19043.891249386776
2024-08-30,18246.833333333332,18754.219640404513
2024-08-31,17878.291666666668,17679.215913794662
2024-09-01,18206.916666666668,17350.981426891176
2024-09-02,16451.166666666668,18530.116096474172
2024-09-03,15934.291666666666,18494.211895311517
2024-09-04,16366.541666666666,18349.254514686618
2024-09-05,16726.916666666668,18124.032462993582
2024-09-06,17296.041666666668,17799.603586677586
2024-09-07,16143.125,16695.425672846097
2024-09-08,14114.958333333334,16343.95245842507
2024-09-09,15744.958333333334,17506.001356617337
2024-09-10,16206.916666666666,17459.246247016854
2024-09-11,16223.041666666666,17309.62200949044
2024-09-12,17017.333333333332,17085.739925268797
2024-09-13,17539.0,16768.363693074167
2024-09-14,17162.625,15676.552396217074
2024-09-15,16859.833333333332,15342.271347119113
2024-09-16,17316.541666666668,16525.776658101044
2024-09-17,17594.291666666668,16504.126372888735
2024-09-18,17553.583333333332,16382.604291819356
2024-09-19,18088.666666666668,16189.155047412147
2024-09-20,17886.208333333332,15903.879608068966
2024-09-21,16141.833333333334,14845.196988467942
2024-09-22,15520.083333333334,14544.472564372938
2024-09-23,16208.916666666666,15761.418355358806
2024-09-24,15700.333333333334,15772.617681655249
2024-09-25,16004.791666666666,15682.959968617904
2024-09-26,16949.333333333332,15520.083975074183
2024-09-27,16402.25,15263.878428987573
2024-09-28,15338.416666666666,14232.645746361883
2024-09-29,15018.916666666666,13957.729222162568
2024-09-30,15866.0,15198.90914145955
2024-10-01,15784.0,15232.920392186074
2024-10-02,15587.166666666666,15164.877613070825
2024-10-03,15378.666666666666,15022.70648986966
2024-10-04,15457.958333333334,14786.630586674857
2024-10-05,14421.625,13775.31984575569
2024-10-06,14051.75,13520.501642766081
2024-10-07,15627.083333333334,14782.34036883427
2024-10-08,14932.125,14837.93865427034
2024-10-09,15087.291666666666,14792.746794291874
2024-10-10,15005.208333333334,14674.979494877573
2024-10-11,14791.333333333334,14465.08979330878
2024-10-12,13661.916666666666,13481.906703395249
2024-10-13,14577.416666666666,13257.237825005102
2024-10-14,15573.916666666666,14551.243167833647
2024-10-15,15422.5,14640.933499444085
2024-10-16,15475.75,14631.579884522685
2024-10-17,15246.708333333334,14551.133547397536
2024-10-18,14973.333333333334,14379.705833261127
2024-10-19,13952.916666666666,13435.714647921472
2024-10-20,13750.875,13250.498359140121
2024-10-21,15161.25,14583.703074094077
2024-10-22,15562.208333333334,14711.796198087326
2024-10-23,15667.958333333334,14739.492479403641
2024-10-24,15257.583333333334,14694.191166050274
2024-10-25,15046.541666666666,14555.473514832443
2024-10-26,14049.083333333334,13641.266484324562
2024-10-27,14202.375,13482.473049874778
2024-10-28,15382.583333333334,14838.37452981887
2024-10-29,15865.75,14985.157338276129
2024-10-30,15414.25,15027.349930023587
2024-10-31,15682.791666666666,14992.268187942012
2024-11-01,15845.083333333334,14859.518194016751
2024-11-02,14384.958333333334,13947.16200154001
2024-11-03,14329.458333333334,13786.346725440648
2024-11-04,16055.541666666666,15136.702316026416
2024-11-05,15491.416666666666,15274.860506756413
2024-11-06,16090.791666666666,15305.880874649187
2024-11-07,15769.833333333334,15257.682531037924
2024-11-08,15312.125,15110.530738068928
2024-11-09,14368.25,14183.18450091546
2024-11-10,14811.416666666666,14007.505951245008
2024-11-11,15584.708333333334,15343.83743821607
2024-11-12,15744.291666666666,15469.499405940725
2024-11-13,16155.416666666666,15490.195604685385
2024-11-14,16684.791666666668,15434.424765627644
2024-11-15,16095.458333333334,15282.948632074054
2024-11-16,14784.791666666666,14354.922962998826
2024-11-17,14739.458333333334,14182.492841875082
2024-11-18,15483.541666666666,15526.158660737872
2024-11-19,15697.5,15663.266234403372
2024-11-20,15770.125,15699.407878942648
2024-11-21,16430.416666666668,15662.833772405207
2024-11-22,16952.25,15533.923573767663
2024-11-23,15654.166666666666,14631.324890218213
2024-11-24,15358.083333333334,14486.55979042225
2024-11-25,16107.958333333334,15859.40549146027
2024-11-26,16493.666666666668,16026.402330343153
2024-11-27,16216.375,16092.275416998069
2024-11-28,15873.333333333334,16084.368767229313
2024-11-29,16150.333333333334,15982.141303377604
2024-11-30,16614.666666666668,15103.330671131254
2024-12-01,17196.208333333332,14978.585392354897
2024-12-02,18318.208333333332,16366.870785802785
2024-12-03,18361.041666666668,16544.00107190724
2024-12-04,18652.125,16614.083383698307
2024-12-05,18569.166666666668,16603.971846573808
2024-12-06,18864.25,16492.780535119142
2024-12-07,17761.791666666668,15598.06074913774
2024-12-08,16804.041666666668,15450.44270980137
2024-12-09,17685.791666666668,16809.04678872015
2024-12-10,17292.083333333332,16950.016476402307
2024-12-11,17208.041666666668,16977.95871873056
2024-12-12,18057.416666666668,16920.389810409088
2024-12-13,18892.0,16757.23580021734
2024-12-14,18103.541666666668,15806.993114132272
2024-12-15,18019.125,15601.349872684345
2024-12-16,18086.791666666668,16900.573492921998
2024-12-17,16957.25,16982.01734969298
2024-12-18,17211.416666666668,16951.53276906
2024-12-19,17729.333333333332,16837.885246566213
2024-12-20,18787.541666666668,16622.22459041093
2024-12-21,18922.75,15624.215462726943
2024-12-22,19938.75,15376.629564440294
2024-12-23,20825.5,16640.705804824796
2024-12-24,18864.25,16694.63194314482
2024-12-25,17555.375,16644.934630797106
2024-12-26,18850.208333333332,16520.877327830793
2024-12-27,18612.125,16303.916285012729
2024-12-28,16965.375,15313.82145259792
2024-12-29,16001.25,15083.263835356896
2024-12-30,16238.375,16373.17578797313
2024-12-31,16158.458333333334,16461.237765332175
2025-01-01,16102.833333333334,16453.27835674734
2025-01-02,18081.958333333332,16377.686853980722
2025-01-03,18498.375,16214.888201471125
2025-01-04,18520.416666666668,15283.486736800085
2025-01-05,18512.75,15114.879689179344
2025-01-06,19923.208333333332,16468.646293747533
2025-01-07,20395.791666666668,16621.06533155983
2025-01-08,20480.75,16676.547169719608
2025-01-09,20432.208333333332,16662.07876607645
2025-01-10,19073.125,16556.73069104442
2025-01-11,18328.416666666668,15677.831788541398
2025-01-12,17541.5,15555.611687892075
2025-01-13,18772.25,16948.616317737196
2025-01-14,19192.416666666668,17132.24859246993
2025-01-15,19757.583333333332,17210.21978953896
2025-01-16,19663.958333333332,17209.009623319496
2025-01-17,18855.0,17107.383717995737
2025-01-18,17653.75,16222.57386843574
2025-01-19,17734.166666666668,16084.921190330657
2025-01-20,19846.416666666668,17453.287324833316
2025-01-21,21144.083333333332,17603.586005846984
2025-01-22,21352.875,17640.220765346432
2025-01-23,20570.166666666668,17590.52715153415
2025-01-24,19984.291666666668,17434.26863302528
2025-01-25,19028.75,16489.79213799686
2025-01-26,18056.75,16288.643963555971
2025-01-27,18576.333333333332,17590.951911943605
2025-01-28,18588.708333333332,17673.92669223164
2025-01-29,18518.541666666668,17643.26911378669
2025-01-30,19031.083333333332,17527.582198023953
