"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2024","1","1","15193","14761","14359","14103","14063","14269","14686","15061","15386","15661","15831","15918","16021","16305","16646","17116","18043","18862","18771","18525","18108","17513","16688","15871",
"2024","1","2","15265","14897","14696","14694","14962","15815","17269","18410","18696","18524","18257","17912","17733","17796","18031","18561","19507","20468","20357","19922","19371","18543","17427","16400",
"2024","1","3","15639","15178","14949","14902","15140","15895","17368","18486","18858","18654","18490","18404","18398","18556","18740","19030","19757","20416","20181","19783","19171","18320","17224","16170",
"2024","1","4","15453","14982","14725","14665","14852","15618","17015","18221","18682","18825","18768","18536","18263","18024","18102","18761","19746","20804","20772","20508","20040","19281","18266","17329",
"2024","1","5","16666","16240","15990","15898","16093","16861","18303","19427","19673","19514","19179","18991","18779","18780","18874","19249","19985","20711","20490","20087","19562","18873","18051","17176",
"2024","1","6","16481","16003","15702","15540","15558","15783","16310","16959","17465","17913","18263","18446","18442","18433","18605","18882","19489","20043","19975","19627","19160","18492","17725","16908",
"2024","1","7","16204","15707","15381","15155","15114","15298","15674","16141","16727","17390","17859","18253","18418","18424","18466","18657","19265","19975","19818","19420","18921","18147","17261","16383",
"2024","1","8","15755","15290","15034","14965","15233","16092","17572","18720","19049","18994","18749","18461","18310","18294","18375","18721","19511","20419","20273","19920","19343","18507","17469","16535",
"2024","1","9","15821","15395","15164","15087","15317","16128","17579","18795","19117","19291","19485","19632","19711","19744","19777","19891","20358","20668","20344","19712","18848","17751","16567","15521",
"2024","1","10","14791","14322","14018","13901","14089","14770","16117","17292","17643","17685","17385","17648","17775","18066","18421","18706","19341","19953","19777","19400","18776","17908","16901","15938",
"2024","1","11","15255","14807","14534","14410","14620","15382","16894","17984","18262","18177","18040","18174","18142","17867","17869","18289","19028","19854","19770","19349","18803","17953","16943","15948",
"2024","1","12","15281","14829","14584","14522","14742","15512","16961","18061","18194","17767","17327","16963","16609","16563","17085","17827","18614","19339","19133","18686","18206","17577","16726","15871",
"2024","1","13","15180","14659","14294","14084","14079","14255","14728","15332","15836","16113","16121","16068","16350","16557","16623","17015","17728","18558","18563","18407","18082","17575","16979","16352",
"2024","1","14","15695","15212","14982","14858","14854","15125","15588","16050","16422","16582","16677","16789","17188","17654","17700","17944","18905","20002","20107","19763","19380","18820","18084","17373",
"2024","1","15","16789","16416","16189","16137","16348","16944","17854","18744","19080","18815","18778","18954","18954","19111","19495","19904","20770","21506","21486","21054","20506","19786","18778","17802",
"2024","1","16","17115","16683","16428","16355","16568","17126","18412","19629","20197","20646","20941","21154","21189","21128","21001","21000","21293","21995","21917","21544","20899","20124","19250","18349",
"2024","1","17","17707","17329","17104","17082","17336","18113","19493","20753","21232","21303","21219","21064","20883","20777","20710","20986","21724","22718","22754","22452","21871","21015","19840","18785",
"2024","1","18","18084","17697","17460","17374","17591","18319","19772","20879","21260","21446","21409","21330","21325","21288","21147","21207","21623","22314","22147","21714","21091","20174","19086","18074",
"2024","1","19","17342","16850","16582","16515","16719","17410","18800","19980","20539","20881","21100","21178","21111","21087","21063","21198","21547","22157","22061","21611","21110","20377","19477","18576",
"2024","1","20","17952","17572","17349","17247","17330","17660","18289","19050","19751","20260","20457","20456","20482","20434","20516","20790","21234","21984","21981","21691","21230","20656","19918","19108",
"2024","1","21","18436","17945","17598","17438","17414","17651","18188","18775","19308","19617","19708","19611","19442","19284","19293","19703","20576","21526","21735","21318","20981","20244","19327","18318",
"2024","1","22","17675","17316","17097","17031","17316","18174","19657","20879","20942","20622","20250","19924","19772","19865","19925","20346","20965","21749","21632","21154","20508","19574","18426","17357",
"2024","1","23","16580","16147","15877","15775","16016","16742","18143","19245","19670","19771","19711","19570","19507","19519","19575","19769","20232","20980","20827","20318","19642","18780","17679","16667",
"2024","1","24","15983","15554","15322","15208","15430","16190","17542","18665","19117","19306","19356","19434","19419","19396","19380","19433","19785","20309","20059","19575","18916","18042","16962","15957",
"2024","1","25","15228","14779","14447","14342","14550","15269","16617","17759","18174","18342","18289","18100","17958","17972","18007","18177","18656","19299","19094","18700","18124","17340","16363","15465",
"2024","1","26","14879","14467","14223","14179","14447","15236","16600","17733","18237","18517","18682","18688","18649","18645","18596","18694","18996","19461","19240","18767","18204","17543","16699","15846",
"2024","1","27","15174","14720","14400","14238","14266","14545","15109","15777","16334","16679","16810","16861","16902","16970","17100","17321","17682","18261","18233","17939","17577","17017","16334","15590",
"2024","1","28","15038","14607","14337","14206","14211","14447","14887","15525","16200","16816","17238","17659","17973","18153","18325","18553","18933","19444","19392","19046","18572","17862","16991","16087",
"2024","1","29","15477","15076","14876","14823","15077","15885","17290","18533","19075","19291","19394","19546","19564","19656","19682","19794","20141","20869","20836","20396","19789","18911","17780","16755",
"2024","1","30","16040","15591","15313","15257","15485","16320","17794","18947","19427","19618","19732","19700","19637","19643","19650","19782","20198","20799","20716","20281","19652","18834","17719","16777",
"2024","1","31","16042","15602","15316","15253","15485","16285","17768","18873","19150","19082","18993","19021","18954","19052","19131","19316","19727","20427","20374","20000","19376","18577","17471","16436",
"2024","2","1","15702","15238","14990","14921","15138","15952","17397","18501","18877","18905","18906","18943","18911","18858","18930","19094","19417","19967","19864","19436","18850","18027","16969","15973",
"2024","2","2","15304","14831","14603","14509","14684","15444","16873","18051","18551","18852","18921","18850","18786","18673","18658","18877","19228","19727","19620","19212","18714","18082","17257","16419",
"2024","2","3","15787","15368","15090","14953","15005","15326","15905","16600","16902","16701","16341","15893","15458","15246","15369","16094","17287","18388","18711","18531","18193","17718","17065","16407",
"2024","2","4","15831","15455","15180","15080","15142","15392","15892","16349","16191","15595","15209","15008","14877","14782","14955","15686","17073","18399","18890","18715","18340","17747","16929","16156",
"2024","2","5","15589","15261","15084","15051","15324","16178","17736","18706","18573","17951","17431","17028","16743","16594","16624","17270","18563","19901","20281","20020","19479","18705","17709","16820",
"2024","2","6","16210","15841","15672","15658","15965","16827","18384","19314","18815","17785","17140","16786","16505","16388","16519","17261","18630","19919","20324","20131","19585","18843","17761","16815",
"2024","2","7","16204","15790","15605","15577","15852","16687","18277","19187","18832","18063","17394","16918","16709","16688","16935","17454","18399","19477","19777","19502","18979","18179","17181","16217",
"2024","2","8","15588","15190","14956","14915","15177","16046","17615","18573","17997","17081","16469","16138","15972","16041","16326","17037","17828","18875","19141","18821","18296","17609","16585","15645",
"2024","2","9","14966","14502","14233","14142","14353","15120","16612","17646","17812","17278","16753","16222","15874","15799","15862","16334","17221","18074","18200","17837","17361","16774","15962","15128",
"2024","2","10","14530","14129","13843","13722","13767","14057","14676","15192","15456","15359","15348","15444","15332","15196","15192","15446","16033","16876","17144","16867","16536","16052","15454","14752",
"2024","2","11","14195","13791","13511","13352","13368","13633","14117","14652","15182","15620","16011","16212","16360","16355","16346","16574","17283","18092","18055","17471","17069","16640","15942","15385",
"2024","2","12","14742","14315","14096","14058","14309","15146","16681","17751","17983","18009","17761","17529","17537","17495","17597","17851","18492","19324","19531","19155","18611","17847","16812","15883",
"2024","2","13","15271","14877","14683","14730","14996","15748","17018","18102","18709","18869","18849","18992","18957","18841","18618","18697","19256","20014","20278","19909","19303","18530","17519","16560",
"2024","2","14","15956","15577","15429","15450","15819","16687","18240","19254","19349","18975","18603","18236","18028","17860","17796","18269","19419","20593","20981","20679","20172","19431","18471","17526",
"2024","2","15","16863","16444","16196","16152","16440","17268","18718","19537","19084","18724","18518","18341","18304","18412","18816","19203","19772","20472","20630","20281","19719","18906","17794","16879",
"2024","2","16","16165","15744","15463","15371","15656","16488","17886","18809","18976","18766","18445","18088","17760","17613","17653","18039","18884","19731","19910","19545","19088","18387","17553","16704",
"2024","2","17","16075","15734","15503","15414","15467","15781","16374","16957","17600","18026","18230","18209","18054","17888","17832","17918","18346","19226","19761","19612","19264","18728","17997","17325",
"2024","2","18","16726","16316","16054","15944","15973","16227","16689","17118","17504","17642","17649","17682","17668","17598","17525","17749","18319","19069","19487","19179","18739","18152","17351","16592",
"2024","2","19","16031","15651","15449","15432","15671","16310","17307","17865","17679","17256","17031","16823","16585","16473","16431","16851","18057","19455","20070","19852","19469","18867","17989","17201",
"2024","2","20","16675","16343","16217","16221","16522","17320","18620","19283","18852","18135","17631","17224","16906","16710","16683","17098","18295","19706","20291","20033","19588","18843","17927","17061",
"2024","2","21","16496","16125","15901","15863","16129","16901","18158","18772","18288","17745","17465","17238","16924","16661","16597","17036","17834","18931","19352","19273","18750","18162","17242","16353",
"2024","2","22","15657","15217","15007","14923","15113","15850","17062","17903","18060","17927","17762","17629","17752","17980","18063","18236","18852","19489","19554","19102","18559","17877","16913","16004",
"2024","2","23","15333","14874","14560","14436","14594","15266","16417","17304","17671","17709","17387","17203","16926","16846","16834","17023","17696","18476","18674","18303","17859","17351","16607","15837",
"2024","2","24","15262","14887","14679","14610","14714","15096","15671","16093","16153","15999","15788","15514","15163","14731","14665","15268","16622","18160","18942","18919","18691","18299","17732","17071",
"2024","2","25","16520","16163","15929","15822","15926","16159","16580","16651","16080","15427","15108","14913","14811","14683","14845","15514","16788","18265","19028","18861","18453","17769","16889","16030",
"2024","2","26","15406","15022","14800","14693","14919","15772","17226","17874","17427","16757","16573","16336","15623","15226","15267","15850","17067","18349","18947","18680","18151","17408","16441","15557",
"2024","2","27","14916","14540","14318","14289","14540","15398","16766","17392","16821","15979","15459","15129","14962","15259","15920","16558","17388","18210","18473","18156","17559","16774","15790","14812",
"2024","2","28","14115","13696","13464","13359","13544","14301","15758","16752","17230","17408","17496","17440","17374","17608","17651","17833","18249","18767","18849","18529","17984","17262","16352","15602",
"2024","2","29","15176","14935","14843","14890","15242","16155","17650","18424","18334","18097","17940","17792","17512","17348","17302","17667","18625","19784","20375","20143","19644","18882","17901","16941",
"2024","3","1","16289","15845","15639","15590","15861","16701","18053","18488","17836","16943","16247","15820","15510","15296","15313","15894","17112","18303","18876","18600","18135","17500","16698","15768",
"2024","3","2","15057","14590","14283","14111","14137","14405","14921","15513","16120","16632","16932","17098","17215","17183","17109","17098","17276","17644","17867","17495","17045","16469","15748","14997",
"2024","3","3","14366","13867","13563","13383","13358","13587","13951","14253","14422","14406","14301","14182","14067","14045","14300","14782","15522","16337","16966","16800","16403","15737","14908","14157",
"2024","3","4","13602","13244","13069","13021","13306","14158","15538","16350","16346","16021","15530","14997","14803","14949","15100","15503","16308","17289","17911","17659","17052","16270","15302","14351",
"2024","3","5","13715","13305","13100","13042","13268","14036","15425","16396","16743","16909","16946","16954","16909","16920","17000","17196","17584","18181","18512","18132","17534","16647","15610","14625",
"2024","3","6","13952","13505","13219","13093","13298","14069","15475","16396","16829","17030","17094","17201","17139","17306","17381","17601","18001","18519","18656","18292","17670","16827","15778","14786",
"2024","3","7","14135","13712","13457","13386","13594","14370","15768","16707","16806","16491","16135","16178","16050","15840","15681","15974","16773","17777","18350","18189","17629","16895","16040","15183",
"2024","3","8","14540","14173","13968","13909","14150","15013","16287","16555","15881","15251","14758","14505","14255","14089","14095","14641","15808","16894","17510","17341","16938","16406","15651","14861",
