Year,Month,Day,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25
2021,1,1,15592,15016,14603,14358,14371,14611,15014,15315,15505,15695,16014,16570,16883,17053,17253,17598,18395,19006,18837,18516,18095,17560,16744,15854,
2021,1,2,15101,14587,14212,14039,14031,14217,14703,15218,15692,16059,16260,16426,16361,16347,16320,16691,17597,18634,18597,18266,17855,17305,16529,15710,
2021,1,3,14992,14511,14241,14074,14070,14301,14677,15129,15714,16469,17152,17590,17914,18055,18137,18323,18972,19655,19453,18967,18388,17612,16649,15728,
2021,1,4,15021,14585,14341,14279,14522,15215,16498,17673,18332,18624,18618,18559,18462,18520,18660,18825,19432,20357,20127,19577,18879,17991,16891,15866,
2021,1,5,15094,14619,14361,14293,14502,15227,16467,17663,18219,18449,18545,18662,18649,18673,18743,18974,19618,20416,20155,19615,18987,18094,17009,15982,
2021,1,6,15236,14768,14455,14395,14646,15359,16641,17812,18451,18696,18766,18730,18656,18644,18738,18984,19682,20721,20494,19965,19311,18422,17365,16292,
2021,1,7,15568,15132,14846,14760,15019,15744,17048,18259,18880,18976,18878,18726,18612,18573,18606,18907,19652,20641,20511,20081,19480,18651,17576,16565,
2021,1,8,15862,15423,15177,15121,15343,16083,17353,18525,19150,19294,19293,19171,19193,19210,19195,19420,20020,20757,20518,20115,19537,18837,17939,17117,
2021,1,9,16417,15938,15663,15532,15559,15858,16450,17084,17535,17738,17870,17848,17634,17406,17421,17777,18545,19591,19556,19145,18709,18116,17357,16548,
2021,1,10,15852,15426,15135,14978,14996,15189,15604,16153,16612,16928,17066,17124,17093,17001,17074,17506,18433,19600,19604,19263,18805,18116,17231,16377,
2021,1,11,15706,15333,15088,15056,15317,16120,17441,18714,19385,19655,19883,19848,19754,19550,19373,19532,20090,20916,20658,20090,19427,18592,17497,16464,
