"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2022","1","1","14507","13932","13482","13206","13093","13193","13499","13828","14217","14773","15337","15723","15999","16084","16057","16226","16840","17488","17365","17021","16650","16155","15518","14752",
"2022","1","2","14091","13608","13320","13150","13143","13356","13782","14312","14909","15581","16260","16723","16980","16988","17077","17315","18054","18916","18878","18560","18109","17489","16606","15737",
"2022","1","3","15126","14736","14559","14610","14919","15747","17183","18467","19173","19678","20059","20186","20232","20187","20197","20398","21036","21929","21765","21314","20821","19968","18873","17833",
"2022","1","4","17149","16711","16428","16354","16546","17336","18667","19768","20100","19944","19624","19367","19099","18978","19059","19500","20377","21461","21281","20848","20165","19286","18174","17088",
"2022","1","5","16374","15900","15576","15520","15662","16286","17537","18674","19118","19376","19613","19660","19589","19360","19262","19354","19862","20553","20281","19770","19074","18247","17185","16194",
"2022","1","6","15537","15123","14911","14858","15116","15932","17320","18424","18966","19142","19191","19109","18853","18855","18913","19298","20106","20966","20781","20323","19739","18956","17891","16937",
"2022","1","7","16252","15834","15595","15560","15785","16458","17631","18713","19386","19826","20086","20090","20049","20028","19996","20097","20625","21468","21323","20897","20353","19631","18730","17848",
"2022","1","8","17145","16715","16448","16350","16395","16736","17417","18110","18708","18983","18986","18812","18542","18335","18331","18621","19384","20489","20523","20157","19725","19131","18307","17474",
"2022","1","9","16673","16120","15726","15506","15465","15627","15974","16429","17016","17694","18220","18556","18771","18778","18757","18839","19336","19885","19713","19299","18798","18052","17170","16305",
"2022","1","10","15754","15370","15183","15224","15616","16548","18050","19332","19757","19760","19715","19719","19764","19795","19905","20351","21194","22220","22128","21691","21123","20258","19171","18261",
"2022","1","11","17625","17247","17076","17056","17352","18151","19550","20713","21232","21335","21114","20968","20890","20867","20934","21317","22210","23237","23155","22698","22036","21149","20048","18998",
"2022","1","12","18204","17646","17325","17211","17366","18056","19342","20373","20662","20635","20422","20311","20087","19960","19943","20163","20604","21338","21165","20689","20005","19194","18031","17019",
"2022","1","13","16294","15786","15530","15442","15653","16394","17799","18820","19157","19132","19024","18761","18470","18448","18502","18797","19493","20312","20191","19735","19140","18328","17224","16252",
"2022","1","14","15580","15094","14831","14758","14987","15767","17137","18315","18864","19139","19178","19193","19110","19044","19102","19434","20159","21172","21185","20879","20465","19950","19214","18390",
"2022","1","15","17805","17463","17287","17252","17391","17741","18452","19170","19686","19861","19881","19936","19905","20007","20252","20561","21349","22285","22311","21955","21578","21031","20304","19490",
"2022","1","16","18819","18309","18000","17861","17925","18131","18552","19107","19469","19372","19158","19043","19121","19258","19536","19999","20693","21409","21160","20736","20266","19550","18582","17645",
"2022","1","17","16914","16412","16089","15936","16029","16388","17093","17747","18450","18927","19110","19714","20049","20180","20114","20195","20635","21320","21070","20506","19882","19006","17961","17037",
"2022","1","18","16408","16035","15812","15816","16096","16926","18303","19468","19845","19917","19937","20009","19777","19542","19473","19839","20617","21662","21710","21261","20639","19834","18769","17733",
"2022","1","19","17044","16573","16323","16246","16413","17095","18397","19436","19847","19988","19950","19816","19457","19027","18810","19026","19635","20583","20532","20053","19391","18501","17416","16447",
"2022","1","20","15689","15230","14978","14966","15300","16135","17585","18838","19525","19923","19942","19888","19642","19541","19587","19994","20681","21720","21820","21490","20992","20252","19222","18257",
"2022","1","21","17601","17311","17152","17124","17400","18220","19715","20956","21461","21498","21265","20823","20479","20279","20319","20854","21703","22595","22611","22241","21729","21068","20215","19312",
"2022","1","22","18577","18198","17917","17803","17907","18249","18913","19640","19950","19827","19628","19360","19091","18895","19004","19434","20114","21054","21184","20858","20458","19818","19007","18170",
"2022","1","23","17492","16983","16662","16477","16438","16659","17087","17583","18023","18388","18452","18304","18285","18322","18531","18902","19572","20543","20590","20252","19836","19129","18241","17297",
"2022","1","24","16662","16289","16041","16013","16316","17153","18711","19951","20515","20549","20226","19821","19658","19743","19973","20217","20937","21850","21722","21274","20569","19658","18411","17319",
"2022","1","25","16536","16080","15781","15697","15902","16610","17983","19125","19642","19865","19887","19835","19647","19460","19326","19487","20122","21144","21313","20939","20443","19591","18557","17568",
"2022","1","26","16950","16628","16467","16432","16758","17608","19092","20280","20620","20445","20109","19927","19723","19758","19901","20357","21236","22312","22492","22171","21648","20859","19805","18836",
"2022","1","27","18067","17707","17548","17557","17850","18640","20124","21242","21409","21122","20640","20352","20133","19960","19960","20389","21109","22062","22094","21641","21005","20114","18959","17867",
"2022","1","28","17085","16598","16223","16101","16340","17154","18499","19672","20202","20406","20572","20563","20440","20314","20308","20481","20863","21493","21498","21092","20511","19871","19042","18080",
"2022","1","29","17473","17077","16852","16787","16916","17232","17847","18585","19368","20135","20647","20887","20986","20888","20781","20770","21150","21976","22245","21886","21471","20885","20110","19249",
